Data; nombre client; nb generation; taille population; taux mutation; fin cout; temps
null; 32; 1000; 20; 0.1; 1776.7357838491303; 0.109620583
null; 32; 1000; 20; 0.15; 1776.7357838491303; 0.071431099
null; 32; 1000; 20; 0.2; 1553.612738297529; 0.074536546
null; 32; 1000; 40; 0.1; 1705.2203016642; 0.069713771
null; 32; 1000; 40; 0.15; 1705.2203016642; 0.06839741
null; 32; 1000; 40; 0.2; 1880.6862578305718; 0.064820691
null; 32; 1000; 60; 0.1; 1956.8456956240261; 0.066740686
null; 32; 1000; 60; 0.15; 1544.6342882359709; 0.06681099
null; 32; 1000; 60; 0.2; 1544.6342882359709; 0.06669899
null; 32; 1000; 80; 0.1; 1544.6342882359709; 0.066769778
null; 32; 1000; 80; 0.15; 1544.6342882359709; 0.066223839
null; 32; 1000; 80; 0.2; 1619.0412288878124; 0.069385044
null; 32; 1000; 100; 0.1; 1619.0412288878124; 0.068714985
null; 32; 1000; 100; 0.15; 1619.0412288878124; 0.068866258
null; 32; 1000; 100; 0.2; 1659.904003265119; 0.067021898
null; 32; 1000; 120; 0.1; 1659.904003265119; 0.067487837
null; 32; 1000; 120; 0.15; 1634.638071120076; 0.068822136
null; 32; 1000; 120; 0.2; 1862.9312729396818; 0.064440087
null; 32; 1000; 140; 0.1; 1862.9312729396818; 0.064122026
null; 32; 1000; 140; 0.15; 1728.2074801849512; 0.065876688
null; 32; 1000; 140; 0.2; 1678.436962298535; 0.066904081
null; 32; 1000; 160; 0.1; 1651.9075401819591; 0.068362501
null; 32; 1000; 160; 0.15; 1651.9075401819591; 0.066099234
null; 32; 1000; 160; 0.2; 1651.9075401819591; 0.065924204
null; 32; 1000; 180; 0.1; 1651.9075401819591; 0.066171961
null; 32; 1000; 180; 0.15; 1830.889783340057; 0.066753293
null; 32; 1000; 180; 0.2; 1830.889783340057; 0.066468203
null; 32; 1000; 200; 0.1; 1976.6087410643208; 0.064640328
null; 32; 1000; 200; 0.15; 1858.1921287171065; 0.070438133
null; 32; 1000; 200; 0.2; 1858.1921287171065; 0.071947462
null; 32; 1000; 220; 0.1; 1858.1921287171065; 0.069314257
null; 32; 1000; 220; 0.15; 1858.1921287171065; 0.070964676
null; 32; 1000; 220; 0.2; 2078.78380115621; 0.063846149
null; 32; 1000; 240; 0.1; 2078.78380115621; 0.063788936
null; 32; 1000; 240; 0.15; 1660.0139000518923; 0.068658743
null; 32; 1000; 240; 0.2; 1706.3030404790165; 0.069910134
null; 32; 1000; 260; 0.1; 1706.3030404790165; 0.069640073
null; 32; 1000; 260; 0.15; 1885.344383494166; 0.066861414
null; 32; 1000; 260; 0.2; 1943.0841067518927; 0.0663339
null; 32; 1000; 280; 0.1; 1943.0841067518927; 0.064563722
null; 32; 1000; 280; 0.15; 1850.2637052119417; 0.066597172
null; 32; 1000; 280; 0.2; 1850.2637052119417; 0.066803232
null; 32; 1000; 300; 0.1; 1850.2637052119417; 0.066212203
null; 32; 1000; 300; 0.15; 1766.960499480388; 0.066343111
null; 32; 1000; 300; 0.2; 1744.2603765870745; 0.067559109
null; 32; 10000; 20; 0.1; 1633.2926595847332; 0.675861634
null; 32; 10000; 20; 0.15; 1633.2926595847332; 0.672839096
null; 32; 10000; 20; 0.2; 1870.3697204702416; 0.672926854
null; 32; 10000; 40; 0.1; 1828.5726541662748; 0.672227219
null; 32; 10000; 40; 0.15; 1856.96607725501; 0.658333919
null; 32; 10000; 40; 0.2; 1509.7352764341056; 0.662947242
null; 32; 10000; 60; 0.1; 1452.20975228711; 0.662004698
null; 32; 10000; 60; 0.15; 2140.5831946804624; 0.673121762
null; 32; 10000; 60; 0.2; 2140.5831946804624; 0.672643703
null; 32; 10000; 80; 0.1; 2140.5831946804624; 0.687065971
null; 32; 10000; 80; 0.15; 2140.5831946804624; 0.701502299
null; 32; 10000; 80; 0.2; 2140.5831946804624; 0.705648714
null; 32; 10000; 100; 0.1; 2140.5831946804624; 0.681458711
null; 32; 10000; 100; 0.15; 1641.838027235403; 0.660550641
null; 32; 10000; 100; 0.2; 1679.4663134081693; 0.707074649
null; 32; 10000; 120; 0.1; 1486.21207135533; 0.678928294
null; 32; 10000; 120; 0.15; 1851.4547177565146; 0.720000679
null; 32; 10000; 120; 0.2; 1851.4547177565144; 0.722217886
null; 32; 10000; 140; 0.1; 1851.4547177565146; 0.7186145
null; 32; 10000; 140; 0.15; 1811.8641301328666; 0.674923939
null; 32; 10000; 140; 0.2; 1811.8641301328666; 0.67208225
null; 32; 10000; 160; 0.1; 1811.8641301328666; 0.675716665
null; 32; 10000; 160; 0.15; 1811.8641301328666; 0.678418719
null; 32; 10000; 160; 0.2; 2092.525164978422; 0.719052317
null; 32; 10000; 180; 0.1; 1812.883371639398; 0.707396104
null; 32; 10000; 180; 0.15; 2391.5148915572936; 0.694145711
null; 32; 10000; 180; 0.2; 2348.9957320862977; 0.68722791
null; 32; 10000; 200; 0.1; 1805.4682614139538; 0.641995535
null; 32; 10000; 200; 0.15; 1805.4682614139538; 0.645495648
null; 32; 10000; 200; 0.2; 2085.653662311074; 0.676503572
null; 32; 10000; 220; 0.1; 2323.158859179632; 0.67263643
null; 32; 10000; 220; 0.15; 2115.19895816822; 0.638924997
null; 32; 10000; 220; 0.2; 2115.19895816822; 0.638883299
null; 32; 10000; 240; 0.1; 2115.19895816822; 0.636715547
null; 32; 10000; 240; 0.15; 2144.708518734439; 0.643662924
null; 32; 10000; 240; 0.2; 2423.543398140776; 0.670839101
null; 32; 10000; 260; 0.1; 2227.088623256062; 0.689556631
null; 32; 10000; 260; 0.15; 1799.6940310915613; 0.66944371
null; 32; 10000; 260; 0.2; 2349.766909818234; 0.700471514
null; 32; 10000; 280; 0.1; 2349.766909818234; 0.718051592
null; 32; 10000; 280; 0.15; 2261.5146947790313; 0.714922873
null; 32; 10000; 280; 0.2; 1940.1581007200589; 0.642362079
null; 32; 10000; 300; 0.1; 1743.4501575202105; 0.656128349
null; 32; 10000; 300; 0.15; 1842.6675798661154; 0.677772903
null; 32; 10000; 300; 0.2; 1842.6675798661154; 0.678541385
null; 32; 100000; 20; 0.1; 1894.7580500212098; 6.911432942
null; 32; 100000; 20; 0.15; 1894.7580500212098; 6.922048673
null; 32; 100000; 20; 0.2; 1699.1391846146453; 6.972622611
null; 32; 100000; 40; 0.1; 1945.711003550225; 6.66760323
null; 32; 100000; 40; 0.15; 1881.623237217636; 6.56289415
null; 32; 100000; 40; 0.2; 1881.623237217636; 6.542491775
null; 32; 100000; 60; 0.1; 1631.2184071779286; 6.755652956
null; 32; 100000; 60; 0.15; 1631.2184071779286; 6.70384799
null; 32; 100000; 60; 0.2; 1643.0127162317933; 6.799221336
null; 32; 100000; 80; 0.1; 1597.3757148389145; 6.655074775
null; 32; 100000; 80; 0.15; 1597.3757148389145; 6.626867814
null; 32; 100000; 80; 0.2; 1853.0592281114873; 6.949041093
null; 32; 100000; 100; 0.1; 1853.0592281114873; 6.965697538
null; 32; 100000; 100; 0.15; 1853.0592281114873; 6.946330312
null; 32; 100000; 100; 0.2; 1970.6012551962838; 6.958096586
null; 32; 100000; 120; 0.1; 2082.9613288464006; 6.554862655
null; 32; 100000; 120; 0.15; 2098.3888872877733; 6.58304198
null; 32; 100000; 120; 0.2; 2098.3888872877733; 6.574800546
null; 32; 100000; 140; 0.1; 2098.3888872877733; 6.562561545
null; 32; 100000; 140; 0.15; 2098.3888872877733; 6.618114866
null; 32; 100000; 140; 0.2; 2301.6941699489275; 7.141190931
null; 32; 100000; 160; 0.1; 2301.6941699489275; 7.176096543
null; 32; 100000; 160; 0.15; 1726.0908685060624; 6.977714963
null; 32; 100000; 160; 0.2; 1622.808353627229; 6.840520629
null; 32; 100000; 180; 0.1; 1560.381822078113; 6.939437722
null; 32; 100000; 180; 0.15; 2240.5496707052766; 7.221380796
null; 32; 100000; 180; 0.2; 2129.399904960039; 7.3435725
null; 32; 100000; 200; 0.1; 1558.4808340870832; 6.882785253
null; 32; 100000; 200; 0.15; 1558.480834087083; 6.913512452
null; 32; 100000; 200; 0.2; 1558.4808340870832; 6.938120877
null; 32; 100000; 220; 0.1; 1558.480834087083; 6.935536641
null; 32; 100000; 220; 0.15; 1480.939558742464; 7.01166979
null; 32; 100000; 220; 0.2; 1809.9650376758482; 6.72504309
null; 32; 100000; 240; 0.1; 1809.9650376758482; 6.739251056
null; 32; 100000; 240; 0.15; 1650.2195923913023; 7.003843384
null; 32; 100000; 240; 0.2; 1650.2195923913023; 7.007842889
null; 32; 100000; 260; 0.1; 1927.4029536453459; 6.823610124
null; 32; 100000; 260; 0.15; 2087.5719196385703; 6.573572427
null; 32; 100000; 260; 0.2; 1937.6364190200454; 6.906430288
null; 32; 100000; 280; 0.1; 1937.6364190200454; 6.896792978
null; 32; 100000; 280; 0.15; 1937.6364190200454; 6.903661809
null; 32; 100000; 280; 0.2; 1751.6780747144687; 6.730324533
null; 32; 100000; 300; 0.1; 1751.6780747144687; 6.68297483
null; 32; 100000; 300; 0.15; 1751.6780747144687; 6.699992485
null; 32; 100000; 300; 0.2; 1751.6780747144687; 6.694059894

